topic_a,topic_b,p_raw,p_holm
7,10,0.671553420498564,1.0
7,8,0.40366834292707887,1.0
7,9,0.3505261297995398,1.0
7,18,0.07931303909598562,1.0
7,13,0.011613971523543449,1.0
7,15,0.11920460269462572,1.0
7,6,0.02067262046594917,1.0
7,17,0.004257200261794833,0.42572002617948335
7,14,0.006547098332082554,0.61542724321576
7,16,0.0015969225805576664,0.17246763870022797
7,4,0.0075615451758390805,0.6956621561771954
7,5,0.005495391021558748,0.5330529290911986
7,0,8.801386206717195e-05,0.011265774344598009
7,19,6.429197451079669e-07,9.386628278576318e-05
7,2,5.308696301363026e-07,7.856870526017278e-05
7,1,0.00014852760145553403,0.018863005384852822
7,11,1.0894863930446715e-09,1.7104936370801343e-07
7,3,1.0006303105516901e-14,1.6910652248323564e-12
7,12,1.0263634495341539e-19,1.8269269401707938e-17
10,8,0.6140091289254944,1.0
10,9,0.456917234550142,1.0
10,18,0.08234898067629597,1.0
10,13,0.007726748798825524,0.7031341406931227
10,15,0.11472087463886627,1.0
10,6,0.013686296976718217,1.0
10,17,0.0018769223900370353,0.19707685095388872
10,14,0.0030781197815548393,0.3139682177185936
10,16,0.00017809849190687565,0.02244040998026633
10,4,0.005160807060256403,0.5087879459915077
10,5,0.0029372131682151004,0.30253295632615534
10,0,2.1870992356007266e-05,0.002886970990992959
10,19,6.796464933193876e-09,1.046655599711857e-06
10,2,4.458590705627756e-09,6.910815593723022e-07
10,1,5.039771119040456e-05,0.006551702454752593
10,11,3.409559797139688e-13,5.728060459194676e-11
10,3,8.667963291382873e-20,1.551565429157534e-17
10,12,1.0238903513356e-31,1.914674956997572e-29
8,9,0.8219648590828476,1.0
8,18,0.3003446884022303,1.0
8,13,0.0771028573199888,1.0
8,15,0.35029009098784747,1.0
8,6,0.09026475132832663,1.0
8,17,0.016958503798004055,1.0
8,14,0.03119772805151775,1.0
8,16,0.006140299326937536,0.5833284360590659
8,4,0.031050077555288255,1.0
8,5,0.01584268054202314,1.0
8,0,0.00020349019863787098,0.025436274829733874
8,19,6.081300770202948e-07,8.939512132198334e-05
8,2,3.0059656816393785e-07,4.508948522459068e-05
8,1,0.00024633743314982505,0.03029950427742848
8,11,1.1512954159751373e-10,1.8650985738797226e-08
8,3,9.813255009423634e-17,1.6976931166302886e-14
8,12,9.887212334062431e-25,1.8093598571334249e-22
9,18,0.5065891463458367,1.0
9,13,0.19087703093277486,1.0
9,15,0.4693833442268852,1.0
9,6,0.18328209551954144,1.0
9,17,0.03558123637452918,1.0
9,14,0.08659929104644518,1.0
9,16,0.018902444715497773,1.0
9,4,0.06392272296602158,1.0
9,5,0.025613178887110497,1.0
9,0,0.0004438836775109205,0.0519343902687777
9,19,2.1769842060261e-06,0.00030695477304968006
9,2,6.804488677266447e-07,9.866508582036348e-05
9,1,0.0003752112847297259,0.044650142882837376
9,11,3.1163245923545483e-10,4.9861193477672773e-08
9,3,4.865421575023599e-16,8.319870893290354e-14
9,12,2.106557616100472e-23,3.8339348613028585e-21
18,13,0.42386539395978273,1.0
18,15,0.9962172612815051,1.0
18,6,0.40722871771163116,1.0
18,17,0.07569397032036791,1.0
18,14,0.16038161481572466,1.0
18,16,0.03499386189637126,1.0
18,4,0.13204004853306878,1.0
18,5,0.05419526459507383,1.0
18,0,0.0005637333013407336,0.06482932965418436
18,19,7.280470233775482e-07,0.00010411072434298939
18,2,2.675499786729339e-07,4.040004677961302e-05
18,1,0.0007658057508422169,0.08730185559601272
18,11,1.2640832401274944e-11,2.073096513809091e-09
18,3,5.833755492782406e-19,1.0267409667297033e-16
18,12,6.085045364949645e-32,1.1439885286105333e-29
13,15,0.5084291583098643,1.0
13,6,0.8265155714171871,1.0
13,17,0.22807588389801492,1.0
13,14,0.40715037801897613,1.0
13,16,0.11834753890984766,1.0
13,4,0.31301485267340134,1.0
13,5,0.10123870169199822,1.0
13,0,0.0013322328045768835,0.1452133756988803
13,19,7.105942857878548e-07,0.0001023255771534511
13,2,1.3562840090328342e-07,2.061551693729908e-05
13,1,0.0008768885361383384,0.09908840458363224
13,11,2.522807598311858e-12,4.1878606131976846e-10
13,3,4.943503194435981e-21,8.947740781929125e-19
13,12,2.6226190052609846e-38,4.9829761099958706e-36
15,6,0.4612983273076815,1.0
15,17,0.12497250856018498,1.0
15,14,0.23032594950996899,1.0
15,16,0.06771686887665224,1.0
15,4,0.178910170140974,1.0
15,5,0.07636607589880576,1.0
15,0,0.0017091431112482036,0.18287831290355777
15,19,6.716729725926498e-06,0.0009134752427260038
15,2,2.6846876621382076e-06,0.00037317158503721084
15,1,0.001844796098079263,0.19554838639640187
15,11,7.637602917555091e-10,1.2067412609737043e-07
15,3,9.410935254599803e-16,1.5998589932819665e-13
15,12,1.524774095587873e-25,2.805584335881686e-23
6,17,0.3120029981258373,1.0
6,14,0.584854725613249,1.0
6,16,0.2415578089314222,1.0
6,4,0.4234837304329535,1.0
6,5,0.16372701341181684,1.0
6,0,0.0034231053126813015,0.34573363658081147
6,19,1.0040113211763219e-05,0.0013453751703762713
6,2,2.3694565161571138e-06,0.00033172391226199595
6,1,0.0025334651954787343,0.2634803803297884
6,11,3.0098178667749764e-10,4.845806765507712e-08
6,3,4.2302176105835634e-17,7.3605786424154e-15
6,12,9.083791496643957e-30,1.689585218375776e-27
17,14,0.6038984256445982,1.0
17,16,0.9055426739828445,1.0
17,4,0.9272503277176846,1.0
17,5,0.5776998395793203,1.0
17,0,0.03642740865474848,1.0
17,19,0.0010908349868287465,0.12108268353799086
17,2,0.00024054310101783355,0.02982734452621136
17,1,0.02227910607249975,1.0
17,11,4.2317602634234996e-07,6.305322792501014e-05
17,3,7.261425905465175e-13,1.2126581262126842e-10
17,12,2.8699968660372516e-20,5.165994358867053e-18
14,16,0.6221331303627984,1.0
14,4,0.7587593393873789,1.0
14,5,0.2964114911585728,1.0
14,0,0.008978632948814217,0.7990983324444653
14,19,6.895470916809712e-05,0.008895157482684529
14,2,1.4240948682361994e-05,0.0018940461747541453
14,1,0.005139272181732401,0.5087879459915077
14,11,2.118912016179604e-09,3.305502745240182e-07
14,3,2.0229082756976378e-16,3.479402234199937e-14
14,12,8.824980516931986e-28,1.6326213956324175e-25
16,4,0.9769091516208267,1.0
16,5,0.43506230336239227,1.0
16,0,0.012601865161789901,1.0
16,19,4.0130931290037455e-05,0.005257151998994907
16,2,6.3483298754863645e-06,0.0008697211929416319
16,1,0.008241829565604139,0.7417646609043725
16,11,3.78288457468464e-10,6.014786473748578e-08
16,3,8.278855211859983e-18,1.4487996620754968e-15
16,12,2.0670074350737158e-34,3.906644052289323e-32
4,5,0.5157480857417414,1.0
4,0,0.031814210701823935,1.0
4,19,0.0011298698777475694,0.12428568655223264
4,2,0.0003806182427482057,0.044912952644288275
4,1,0.0222317471862648,1.0
4,11,7.760475026537605e-07,0.00011019874537683399
4,3,5.492946625018973e-12,9.063361931281305e-10
4,12,4.73536749876809e-19,8.38160047281952e-17
5,0,0.1743030495665021,1.0
5,19,0.026974226775003062,1.0
5,2,0.010957266275084823,0.9642394322074644
5,1,0.11575148025141219,1.0
5,11,0.00029135729622853363,0.0355455901398811
5,3,9.077761015426825e-08,1.3888974353603043e-05
5,12,4.661573530829439e-11,7.598364855251986e-09
0,19,0.5574885846380322,1.0
0,2,0.34539718295198507,1.0
0,1,0.7408650082361916,1.0
0,11,0.05150171343331391,1.0
0,3,0.00032076760883319394,0.03849211305998328
0,12,9.258054849898554e-06,0.0012498374047363048
19,2,0.6372554856767219,1.0
19,1,0.874562093279625,1.0
19,11,0.09754108697099516,1.0
19,3,0.00044768691606563734,0.0519343902687777
19,12,4.262204660086138e-06,0.0005881842430918871
2,1,0.584742597873859,1.0
2,11,0.27049018710341566,1.0
2,3,0.007389521402168976,0.6872254904017148
2,12,0.00029595686295212387,0.03581078041720699
1,11,0.14926580487858052,1.0
1,3,0.005603574259599909,0.5379431289215912
1,12,0.0008901777918716737,0.09969991268962745
11,3,0.07346196367731338,1.0
11,12,0.011518724358485461,1.0
3,12,0.7946317232681478,1.0
