topic,coef_log2,t,x_views,words
9,2.2694573423697597,6.710445885018929,4.821417433948378,"secret, murderer, teen, sister, death"
10,2.248628990331944,6.96824309296005,4.752310138535157,"mystery, serial_killer, murder, case, unsolved"
16,2.2460004085661556,7.588896440136348,4.743659341031224,"killer, case, solve, old, disturb"
13,2.189938382576828,7.365338723903419,4.562859979821673,"murder, coffee, case, trial, idaho"
8,1.9857397823592051,5.774171282384234,3.9606570430606407,"victim, case, chris, boy, robert"
15,1.7186621055951974,5.313080866121787,3.291310431196524,"death, girl, shock, call, case"
6,1.7074777737838247,5.360339298286651,3.26589356350884,"kill, disappearance, child, john, case"
18,1.6941258061946278,5.283136139820566,3.235807550711064,"murder, case, wife, michael, inside"
14,1.6040013281844645,4.834709514002177,3.0398525113730046,"family, man, bad, strange, case"
7,1.3450871380166232,3.7920809470313173,2.5404554026050126,"say, boyfriend, real, shoot, date"
5,1.1328580162511108,3.252178771157653,2.192927348217507,"use, world, charge, smith, black"
4,1.0962912041208857,3.3148830330640453,2.1380434972105333,"life, woman, david, suspect, case"
17,0.8966444606883753,2.809124317760108,1.8617307761941773,"crime, mother, police, murder, daughter"
0,0.1756058908732241,0.5011586638888155,1.1294386373127898,"makeup, lie, west, plot, dark"
11,-0.343017270202634,-1.033611125260678,0.7883907363380627,"face, interview, tutorial, history, kidnap"
1,-0.4710476725475784,-1.2912242543288164,0.7214405036905989,"model, baby, jennifer, double, grwm"
2,-0.5249324594453273,-1.528021530662082,0.6949916455722646,"happen, house, talk, people, massacre"
3,-1.4790030831714178,-4.419786068478985,0.35873661699785464,"look, find, body, justice, dead"
12,-2.257075219840704,-6.930978706926032,0.20919565325556516,"short, test, love, parent, help"
