model,topic,n,median_ratio,ci_lo,ci_hi,above_median,median_views,n_channels,words
LDA,7,185,1.3624345709068777,1.21803151640403,1.6258128340083635,0.6432432432432432,236583.0,20.0,"say, boyfriend, real, shoot, date, guilty"
LDA,10,465,1.3173632699142133,1.1652243087529832,1.4246731018902752,0.5956989247311828,247520.0,19.0,"mystery, serial_killer, murder, case, unsolved, mysterious"
LDA,8,304,1.288196259392593,1.0906678079455672,1.4054909029848046,0.5921052631578947,170390.5,21.0,"victim, case, chris, boy, robert, todd"
LDA,9,320,1.1960868582688517,1.0017334156113238,1.3964490725649354,0.559375,254491.5,19.0,"secret, murderer, teen, sister, death, evil"
LDA,18,596,1.1541911963158595,1.044098246313327,1.29016684460086,0.5587248322147651,138422.0,20.0,"murder, case, wife, michael, inside, lead"
LDA,13,927,1.125445240435729,1.0729159354702849,1.2060604247937343,0.5717367853290184,181578.0,21.0,"murder, coffee, case, trial, idaho, student"
LDA,15,521,1.1138078401568472,1.0233035009704652,1.2853065345810442,0.5604606525911708,173573.0,21.0,"death, girl, shock, call, case, sign"
LDA,6,738,1.0909546260445073,0.9958557792277359,1.1917194950958199,0.5298102981029811,120571.5,20.0,"kill, disappearance, child, john, case, night"
LDA,17,482,1.088205558183751,0.9813607137086389,1.20882972776724,0.533195020746888,105537.0,20.0,"crime, mother, police, murder, daughter, case"
LDA,14,607,1.05319601494238,0.9789934816617948,1.1445547332163442,0.5238879736408567,205247.0,21.0,"family, man, bad, strange, case, friend"
LDA,16,1550,1.0494805468288237,0.9978319915319449,1.1119740631860764,0.5206451612903226,129017.5,20.0,"killer, case, solve, old, disturb, detail"
LDA,4,417,1.0428297701487554,0.96171796115347,1.1407488632325304,0.5275779376498801,82299.0,21.0,"life, woman, david, suspect, case, husband"
LDA,5,273,0.9268308196252096,0.827074606332456,1.138117313512892,0.47619047619047616,102971.0,20.0,"use, world, charge, smith, black, end"
LDA,0,215,0.8647049937587953,0.6783255680754277,1.023334949951104,0.4418604651162791,119215.0,19.0,"makeup, lie, west, plot, dark, williams"
LDA,19,378,0.8065049809367923,0.6990708290724182,0.9282396824515152,0.42592592592592593,200863.5,20.0,"bizarre, abandon, monster, control, turn, case"
LDA,2,363,0.7290105915784035,0.6292684056896631,0.8838976919468583,0.418732782369146,127346.0,19.0,"happen, house, talk, people, massacre, haunt"
LDA,1,166,0.7235669336670242,0.5878217032008497,0.9683547584406832,0.40963855421686746,114624.0,15.0,"model, baby, jennifer, double, grwm, conspiracy"
LDA,11,354,0.5851093619418506,0.5129813653381489,0.6939641144555914,0.3502824858757062,153192.5,18.0,"face, interview, tutorial, history, kidnap, tell"
LDA,3,302,0.4598593402182294,0.4049856563458304,0.6074938762321656,0.3079470198675497,66343.0,16.0,"look, find, body, justice, dead, palette"
LDA,12,622,0.4521176367698386,0.4056703530852222,0.5089989072770421,0.2652733118971061,31187.0,20.0,"short, test, love, parent, help, question"
LSA,2,335,1.6792736350843158,,,,,,"personality, mental_health, case, short, life_death, solve"
LSA,7,308,1.6261632127617527,,,,,,"death, family, short, mysterious, disorder, bizarre"
LSA,1,823,1.3680879652082654,,,,,,"case, murder, killer, personality, mental_health, solve"
LSA,8,269,1.358761272604685,,,,,,"disappearance, solve, mystery, family, coffee, death"
LSA,10,96,1.3553071428995538,,,,,,"kill, disappearance, solve, coffee, mysterious, spss"
LSA,11,391,1.3123059815595608,,,,,,"mystery, solve, disappearance, disturb, coffee, tutorial"
LSA,0,1058,1.2859259518233357,,,,,,"murder, case, family, solve, personality, mental_health"
LSA,12,313,1.2053095760397547,,,,,,"coffee, solve, mystery, serial_killer, happen, cold"
LSA,15,251,1.178011200088535,,,,,,"disturb, mystery, find, serial_killer, tutorial, abandon"
LSA,6,329,1.1591545339423162,,,,,,"family, death, short, mystery, disappearance, disorder"
LSA,3,431,1.1566702333698142,,,,,,"killer, case, short, mental_health, personality, catch"
LSA,14,476,1.1276483492188487,,,,,,"kill, solve, coffee, disappearance, mystery, serial_killer"
LSA,16,416,1.056741780048192,,,,,,"serial_killer, disturb, personality_disorder, coffee, notorious, short"
LSA,17,1486,1.0366017739508062,,,,,,"find, disturb, miss, abandon, house, mystery"
LSA,18,326,0.8636908046620779,,,,,,"personality_disorder, narcissistic, difference, short, serial_killer, disorder"
LSA,4,632,0.44769711473480844,,,,,,"short, disorder, borderline_personality, personality_disorder, killer, narcissistic"
LSA,9,642,0.4135493770721197,,,,,,"spss, test, excel, disappearance, anova, variable"
LSA,19,454,0.37227242436688823,,,,,,"makeup, tutorial, cbt_role, session, play_complete, use"
LSA,13,694,0.3176667650711299,,,,,,"tutorial, mystery, makeup, face, palette, look"
LSA,5,55,0.2188635442091956,,,,,,"disorder, short, death, borderline_personality, serial_killer, family"
